=== SolidLink Diagnostic Log ===
Started: 1/20/2026 2:21:00 AM

[02:21:00.174] ========== TREE EXTRACTION START ==========
[02:21:00.175] Model: ORIGINAL_3_DOF_ARM.SLDASM
[02:21:00.176] Type: Assembly
[02:21:00.183] Component: ORIGINAL_3_DOF_ARM
[02:21:00.183]   Parent: (ROOT)
[02:21:00.225]   Rotation Row1: [-0.8173, 0.0419, -0.5747]
[02:21:00.226]   Rotation Row2: [0.5748, 0.1314, -0.8077]
[02:21:00.226]   Rotation Row3: [0.0416, -0.9904, -0.1315]
[02:21:00.226]   Translation: [-0.1454, 0.1858, 0.0471]
[02:21:00.227]   Scale: 1.0000
[02:21:00.228]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.235]     Vertices: 5010
[02:21:00.235]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.235]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.235]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.243] Component: Arm_link-3/Arm_brace-3
[02:21:00.243]   Parent: Arm_link-3
[02:21:00.243]   Rotation Row1: [0.8173, -0.0419, 0.5747]
[02:21:00.243]   Rotation Row2: [0.0416, -0.9904, -0.1315]
[02:21:00.245]   Rotation Row3: [0.5748, 0.1314, -0.8077]
[02:21:00.246]   Translation: [-0.0812, 0.1572, 0.1154]
[02:21:00.246]   Scale: 1.0000
[02:21:00.248]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.248]     Vertices: 5010
[02:21:00.250]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.250]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.250]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.250] Component: Arm_link-3/Skin Link-1
[02:21:00.251]   Parent: Arm_link-3
[02:21:00.252]   Rotation Row1: [-0.5748, -0.1314, 0.8077]
[02:21:00.252]   Rotation Row2: [0.8173, -0.0419, 0.5747]
[02:21:00.252]   Rotation Row3: [-0.0416, 0.9904, 0.1315]
[02:21:00.252]   Translation: [-0.2086, 0.1855, 0.0293]
[02:21:00.252]   Scale: 1.0000
[02:21:00.255]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.255]     Vertices: 1080
[02:21:00.255]     BBox Min: [-0.0305, 0.0006, -0.0305]
[02:21:00.255]     BBox Max: [0.0305, 0.1841, 0.0305]
[02:21:00.255]     BBox Size: [0.0610, 0.1835, 0.0610]
[02:21:00.255] Component: Arm_link-2
[02:21:00.255]   Parent: ORIGINAL_3_DOF_ARM
[02:21:00.255]   Rotation Row1: [-0.9533, 0.0000, -0.3020]
[02:21:00.255]   Rotation Row2: [-0.2991, -0.1379, 0.9442]
[02:21:00.255]   Rotation Row3: [-0.0416, 0.9904, 0.1315]
[02:21:00.255]   Translation: [0.0036, 0.1999, -0.0121]
[02:21:00.255]   Scale: 1.0000
[02:21:00.255] Component: Arm_link-2/Arm_brace-4
[02:21:00.255]   Parent: Arm_link-2
[02:21:00.255]   Rotation Row1: [0.2991, 0.1379, -0.9442]
[02:21:00.255]   Rotation Row2: [-0.9533, 0.0000, -0.3020]
[02:21:00.255]   Rotation Row3: [-0.0416, 0.9904, 0.1315]
[02:21:00.255]   Translation: [-0.0257, 0.1961, 0.0075]
[02:21:00.255]   Scale: 1.0000
[02:21:00.255]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.255]     Vertices: 5010
[02:21:00.255]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.255]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.255]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.267] Component: Arm_link-2/Arm_brace-1
[02:21:00.267]   Parent: Arm_link-2
[02:21:00.269]   Rotation Row1: [-0.2991, -0.1379, 0.9442]
[02:21:00.269]   Rotation Row2: [-0.0416, 0.9904, 0.1315]
[02:21:00.269]   Rotation Row3: [-0.9533, 0.0000, -0.3020]
[02:21:00.269]   Translation: [-0.0334, 0.2050, 0.1048]
[02:21:00.271]   Scale: 1.0000
[02:21:00.271]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.273]     Vertices: 5010
[02:21:00.273]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.273]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.273]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.273] Component: Arm_link-2/Arm_link_tube-1
[02:21:00.275]   Parent: Arm_link-2
[02:21:00.275]   Rotation Row1: [-0.9533, 0.0000, -0.3020]
[02:21:00.275]   Rotation Row2: [-0.2991, -0.1379, 0.9442]
[02:21:00.275]   Rotation Row3: [-0.0416, 0.9904, 0.1315]
[02:21:00.275]   Translation: [0.0036, 0.1999, -0.0121]
[02:21:00.275]   Scale: 1.0000
[02:21:00.277]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.277]     Vertices: 1992
[02:21:00.277]     BBox Min: [-0.0254, 0.0000, -0.0254]
[02:21:00.279]     BBox Max: [0.0254, 0.1588, 0.0254]
[02:21:00.279]     BBox Size: [0.0508, 0.1588, 0.0508]
[02:21:00.279] Component: Arm_link-2/Arm_brace-2
[02:21:00.279]   Parent: Arm_link-2
[02:21:00.279]   Rotation Row1: [-0.2991, -0.1379, 0.9442]
[02:21:00.279]   Rotation Row2: [0.0416, -0.9904, -0.1315]
[02:21:00.281]   Rotation Row3: [0.9533, 0.0000, 0.3020]
[02:21:00.281]   Translation: [-0.0316, 0.1615, 0.0990]
[02:21:00.281]   Scale: 1.0000
[02:21:00.281]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.283]     Vertices: 5010
[02:21:00.283]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.283]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.284]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.285] Component: Arm_link-2/Arm_brace-3
[02:21:00.285]   Parent: Arm_link-2
[02:21:00.285]   Rotation Row1: [0.2991, 0.1379, -0.9442]
[02:21:00.285]   Rotation Row2: [0.9533, 0.0000, 0.3020]
[02:21:00.285]   Rotation Row3: [0.0416, -0.9904, -0.1315]
[02:21:00.285]   Translation: [0.0162, 0.1961, 0.0208]
[02:21:00.285]   Scale: 1.0000
[02:21:00.285]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.285]     Vertices: 5010
[02:21:00.285]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.285]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.285]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.285] Component: Arm_link-2/Skin Link-1
[02:21:00.285]   Parent: Arm_link-2
[02:21:00.285]   Rotation Row1: [-0.0416, 0.9904, 0.1315]
[02:21:00.285]   Rotation Row2: [0.2991, 0.1379, -0.9442]
[02:21:00.293]   Rotation Row3: [-0.9533, 0.0000, -0.3020]
[02:21:00.293]   Translation: [-0.0510, 0.1747, 0.1603]
[02:21:00.293]   Scale: 1.0000
[02:21:00.293]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.295]     Vertices: 1080
[02:21:00.295]     BBox Min: [-0.0305, 0.0006, -0.0305]
[02:21:00.295]     BBox Max: [0.0305, 0.1841, 0.0305]
[02:21:00.295]     BBox Size: [0.0610, 0.1835, 0.0610]
[02:21:00.295] Component: Arm_base-1
[02:21:00.297]   Parent: ORIGINAL_3_DOF_ARM
[02:21:00.297]   Rotation Row1: [1.0000, 0.0000, 0.0000]
[02:21:00.297]   Rotation Row2: [0.0000, 1.0000, 0.0000]
[02:21:00.297]   Rotation Row3: [0.0000, 0.0000, 1.0000]
[02:21:00.297]   Translation: [0.0086, 0.0345, -0.0278]
[02:21:00.297]   Scale: 1.0000
[02:21:00.297]   Body: Boss-Extrude2, UnitFactor: 0.0254
[02:21:00.302]     Vertices: 1464
[02:21:00.302]     BBox Min: [-0.0635, 0.0000, -0.0635]
[02:21:00.302]     BBox Max: [0.0635, 0.0152, 0.0635]
[02:21:00.302]     BBox Size: [0.1269, 0.0152, 0.1270]
[02:21:00.302] Component: Arm_link-1
[02:21:00.302]   Parent: ORIGINAL_3_DOF_ARM
[02:21:00.302]   Rotation Row1: [-0.3020, 0.0000, 0.9533]
[02:21:00.302]   Rotation Row2: [0.0000, 1.0000, 0.0000]
[02:21:00.302]   Rotation Row3: [-0.9533, 0.0000, -0.3020]
[02:21:00.302]   Translation: [0.0086, 0.0371, -0.0278]
[02:21:00.302]   Scale: 1.0000
[02:21:00.302] Component: Arm_link-1/Arm_brace-1
[02:21:00.302]   Parent: Arm_link-1
[02:21:00.302]   Rotation Row1: [0.0000, 1.0000, 0.0000]
[02:21:00.302]   Rotation Row2: [-0.9533, 0.0000, -0.3020]
[02:21:00.302]   Rotation Row3: [-0.3020, 0.0000, 0.9533]
[02:21:00.302]   Translation: [-0.0124, 0.1577, -0.0344]
[02:21:00.302]   Scale: 1.0000
[02:21:00.302]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.302]     Vertices: 5010
[02:21:00.313]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.313]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.313]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.313] Component: Arm_link-1/Arm_brace-4
[02:21:00.313]   Parent: Arm_link-1
[02:21:00.313]   Rotation Row1: [0.0000, -1.0000, 0.0000]
[02:21:00.313]   Rotation Row2: [-0.3020, 0.0000, 0.9533]
[02:21:00.313]   Rotation Row3: [-0.9533, 0.0000, -0.3020]
[02:21:00.313]   Translation: [0.0019, 0.0649, -0.0068]
[02:21:00.313]   Scale: 1.0000
[02:21:00.317] Component: Arm_link-1/Arm_brace-2
[02:21:00.318]   Parent: Arm_link-1
[02:21:00.318]   Rotation Row1: [0.0000, 1.0000, 0.0000]
[02:21:00.318]   Rotation Row2: [0.9533, 0.0000, 0.3020]
[02:21:00.318]   Rotation Row3: [0.3020, 0.0000, -0.9533]
[02:21:00.318]   Translation: [0.0295, 0.1577, -0.0211]
[02:21:00.318]   Scale: 1.0000
[02:21:00.318]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.318]     Vertices: 5010
[02:21:00.318]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.318]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.318]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.318] Component: Arm_link-1/Arm_link_tube-1
[02:21:00.318]   Parent: Arm_link-1
[02:21:00.318]   Rotation Row1: [-0.3020, 0.0000, 0.9533]
[02:21:00.318]   Rotation Row2: [0.0000, 1.0000, 0.0000]
[02:21:00.318]   Rotation Row3: [-0.9533, 0.0000, -0.3020]
[02:21:00.318]   Translation: [0.0086, 0.0371, -0.0278]
[02:21:00.318]   Scale: 1.0000
[02:21:00.318]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.318]     Vertices: 1992
[02:21:00.318]     BBox Min: [-0.0254, 0.0000, -0.0254]
[02:21:00.329]     BBox Max: [0.0254, 0.1588, 0.0254]
[02:21:00.329]     BBox Size: [0.0508, 0.1588, 0.0508]
[02:21:00.329] Component: Arm_link-1/Arm_brace-3
[02:21:00.329]   Parent: Arm_link-1
[02:21:00.329]   Rotation Row1: [0.0000, -1.0000, 0.0000]
[02:21:00.329]   Rotation Row2: [0.3020, 0.0000, -0.9533]
[02:21:00.329]   Rotation Row3: [0.9533, 0.0000, 0.3020]
[02:21:00.329]   Translation: [0.0152, 0.0649, -0.0488]
[02:21:00.329]   Scale: 1.0000
[02:21:00.329] Component: Arm_link-1/Skin Link-1
[02:21:00.329]   Parent: Arm_link-1
[02:21:00.329]   Rotation Row1: [-0.9533, 0.0000, -0.3020]
[02:21:00.329]   Rotation Row2: [0.0000, -1.0000, 0.0000]
[02:21:00.333]   Rotation Row3: [-0.3020, 0.0000, 0.9533]
[02:21:00.333]   Translation: [0.0086, 0.2197, -0.0278]
[02:21:00.334]   Scale: 1.0000
[02:21:00.335]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.337]     Vertices: 1080
[02:21:00.337]     BBox Min: [-0.0305, 0.0006, -0.0305]
[02:21:00.337]     BBox Max: [0.0305, 0.1841, 0.0305]
[02:21:00.337]     BBox Size: [0.0610, 0.1835, 0.0610]
